REMIRE MONTJOLY, 140
LA CHAPELLE SUR ERDRE, 140
LESQUIN, 139
GRASSE, 138
VIENNE, 138
LE PUY EN VELAY, 136
BOULOGNE SUR MER, 135
MONT SAINT AIGNAN, 134
BALMA, 134
MEYZIEU, 134
PERIGNY, 134
CENON, 134
SECLIN, 133
THONON LES BAINS, 133
MATOURY, 133
ORVAULT, 132
PERIGUEUX, 132
LES SABLES D OLONNE, 131
MELUN, 131
DARDILLY, 131
ROCHEFORT, 130
BEAUCOUZE, 129
BETHUNE, 129
MAISONS ALFORT, 129
BEZONS, 127
DOLE, 127
ALFORTVILLE, 126
PAMIERS, 125
VILLEFRANCHE SUR SAONE, 124
LA MADELEINE, 124
CARPENTRAS, 124
CHARENTON LE PONT, 123
CAMBRAI, 123
DECINES CHARPIEU, 122
DUCOS, 122
MEAUX, 122
SETE, 121
LORMONT, 121
CALUIRE ET CUIRE, 121
L UNION, 121
SOISSONS, 120
AUBIERE, 120
CHELLES, 120
LONS, 119
CORBEIL ESSONNES, 119
LATTES, 119
PONTOISE, 118
TREMBLAY EN FRANCE, 118
CHATILLON, 118
GUIPAVAS, 118
VESOUL, 118
BRIGNOLES, 117
LISSES, 116
CHEVILLY LARUE, 116
CANEJAN, 116
MOULINS, 115
SAINT AVERTIN, 115
PARIS LA DEFENSE, 115
PALAISEAU, 115
BRIGNAIS, 115
FONTAINE, 115
RAMONVILLE SAINT AGNE, 115
VERTOU, 114
CHALLANS, 114
VILLENAVE D ORNON, 113
LAON, 113
BOUGUENAIS, 112
LA VALETTE DU VAR, 112
SAINT CHAMOND, 112
LUDRES, 112
SAINT JOSEPH, 111
OLIVET, 111
PORTET SUR GARONNE, 111
MOUGINS, 110
SAINT JEAN DE BRAYE, 110
SARCELLES, 110
BOIS GUILLAUME, 109
LES PENNES MIRABEAU, 109
LA CHAPELLE SAINT LUC, 109
CHATELLERAULT, 108
LE CANNET, 108
BAGNOLET, 108
MONDEVILLE, 108
VOIRON, 107
VILLEPINTE, 107
GARDANNE, 107
GRIGNY, 107
BAR LE DUC, 107
ARCUEIL, 106
SAINTE LUCE SUR LOIRE, 106
MILLAU, 106
EYSINES, 106
LE PETIT QUEVILLY, 106
HAGUENAU, 106
VILLEJUIF, 106
RAMBOUILLET, 106
PLERIN, 105
CAVAILLON, 105
AIX LES BAINS, 105
KOUROU, 105
ABBEVILLE, 105
SAINT CLOUD, 105
CHAMBRAY LES TOURS, 104
TALENCE, 104
SOTTEVILLE LES ROUEN, 104
GEMENOS, 104
SAINT RAPHAEL, 103
WISSOUS, 103
BAGNEUX, 103
ONET LE CHATEAU, 103
DAX, 103
TULLE, 102
CHASSENEUIL DU POITOU, 101
CAUDAN, 101
SEVRES, 101
SAINT JACQUES DE LA LANDE, 101
PETIT BOURG, 101
GRADIGNAN, 100
