VANDOEUVRE LES NANCY, 141
GRASSE, 141
MONTLUCON, 141
LA CHAPELLE SUR ERDRE, 141
BRUXELLES, 140
BEGLES, 140
REMIRE MONTJOLY, 140
LE PUY EN VELAY, 140
LESQUIN, 140
HYERES, 140
MARLY, 140
VIENNE, 139
MELUN, 138
PERIGNY, 135
BOULOGNE SUR MER, 135
CENON, 135
BALMA, 134
RAMONVILLE SAINT AGNE, 134
PERIGUEUX, 134
MEYZIEU, 134
SAINT OUEN, 133
SAINT AVERTIN, 133
MATOURY, 133
THONON LES BAINS, 133
SECLIN, 133
ORVAULT, 132
MAISONS ALFORT, 132
LES SABLES D OLONNE, 131
DARDILLY, 131
BETHUNE, 130
BEAUCOUZE, 130
ROCHEFORT, 130
BEZONS, 130
SAINT CHAMOND, 129
DOLE, 128
COURTABOEUF, 128
ALFORTVILLE, 127
PAMIERS, 126
SAINT CLOUD, 126
LA MADELEINE, 125
CHARENTON LE PONT, 124
LA CHAPELLE SAINT LUC, 124
SAINT RAPHAEL, 124
VILLEFRANCHE SUR SAONE, 124
CAMBRAI, 124
CARPENTRAS, 124
MEAUX, 123
DUCOS, 123
DECINES CHARPIEU, 122
SOISSONS, 122
SAINT JOSEPH, 122
LORMONT, 122
CALUIRE ET CUIRE, 122
L UNION, 121
SAINTE LUCE SUR LOIRE, 121
VESOUL, 121
CHELLES, 121
SETE, 121
LATTES, 120
CHATILLON, 120
LONS, 120
AUBIERE, 120
SAINT PIERRE DES CORPS, 119
CORBEIL ESSONNES, 119
GUIPAVAS, 119
TREMBLAY EN FRANCE, 119
SAINT JEAN DE BRAYE, 119
PONTOISE, 118
BRIGNOLES, 117
BRIGNAIS, 117
CANEJAN, 117
SAINT JACQUES DE LA LANDE, 117
LISSES, 116
CHEVILLY LARUE, 116
MOULINS, 116
PALAISEAU, 116
FONTAINE, 115
VERTOU, 114
SAINT JEAN DE LA RUELLE, 114
CHALLANS, 114
LAON, 114
OLIVET, 113
VILLENAVE D ORNON, 113
PORTET SUR GARONNE, 112
LUDRES, 112
BOUGUENAIS, 112
LA VALETTE DU VAR, 112
LES PENNES MIRABEAU, 111
MOUGINS, 111
CHATELLERAULT, 110
BOIS GUILLAUME, 110
SARCELLES, 110
GRIGNY, 109
BAGNOLET, 109
ARCUEIL, 109
LE CANNET, 108
MONDEVILLE, 108
ABBEVILLE, 108
BAR LE DUC, 108
VILLEPINTE, 108
RAMBOUILLET, 108
SAINT GENIS LAVAL, 108
VOIRON, 108
EYSINES, 107
AIX LES BAINS, 107
CHAMBRAY LES TOURS, 107
GARDANNE, 107
BAGNEUX, 107
PLERIN, 106
VILLEJUIF, 106
LE PETIT QUEVILLY, 106
SOTTEVILLE LES ROUEN, 106
MILLAU, 106
HAGUENAU, 106
GEMENOS, 105
KOUROU, 105
CAVAILLON, 105
SAINT LAURENT BLANGY, 104
TALENCE, 104
WISSOUS, 104
CAUDAN, 103
DAX, 103
ONET LE CHATEAU, 103
SAINT EGREVE, 103
TULLE, 102
PETIT BOURG, 102
SAINT MEDARD EN JALLES, 102
SEVRES, 102
ORSAY, 101
MARNE LA VALLEE, 101
SAINTE CLOTILDE, 101
SAINT DIZIER, 101
CHASSENEUIL DU POITOU, 101
BOURGOIN JALLIEU, 100
GENTILLY, 100
GRADIGNAN, 100
BIGUGLIA, 100
GEISPOLSHEIM, 99
ALBERTVILLE, 99
SARROLA CARCOPINO, 99
FLOIRAC, 99
VILLENEUVE LOUBET, 99
CREIL, 99
SAINT APOLLINAIRE, 99
CHANGE, 98
ROMANS SUR ISERE, 98
GENAS, 98
INGRE, 98
VOISINS LE BRETONNEUX, 97
VALLAURIS, 97
SAINT JEAN, 97
WOIPPY, 97
CHENOVE, 97
AYTRE, 97
AUBENAS, 97
PORTO VECCHIO, 97
ROSNY SOUS BOIS, 96
ANCENIS SAINT GEREON, 96
CHOISY LE ROI, 96
SAINTE GENEVIEVE DES BOIS, 96
CHAMPS SUR MARNE, 96
COUERON, 96
VILLENEUVE LA GARENNE, 96
BONNEUIL SUR MARNE, 96
LIEVIN, 95
LOOS, 95
MONTBELIARD, 95
ECULLY, 95
LE HAILLAN, 94
GONESSE, 94
VITRE, 93
SARREGUEMINES, 93
LA FARLEDE, 93
LE PLESSIS ROBINSON, 93
SAINT DIDIER AU MONT D OR, 92
SAINT LEU, 92
ARTIGUES PRES BORDEAUX, 91
LES MUREAUX, 91
BORGO, 91
SAINT ANDRE LEZ LILLE, 91
LE KREMLIN BICETRE, 91
SELESTAT, 91
DIEPPE, 91
SAINT DIE DES VOSGES, 90
LANNION, 90
CORBAS, 89
GOUSSAINVILLE, 89
BRUZ, 89
SARTROUVILLE, 88
NOISY LE SEC, 88
VILLENEUVE SUR LOT, 88
LUCE, 87
VAUX LE PENIL, 87
SAUMUR, 87
EYBENS, 87
AGDE, 86
ANDREZIEUX BOUTHEON, 86
BRIE COMTE ROBERT, 86
FOIX, 86
CROISSY BEAUBOURG, 86
LA GARENNE COLOMBES, 86
RIOM, 85
NEUILLY SUR MARNE, 85
DIGNE LES BAINS, 85
ISSOIRE, 85
HENIN BEAUMONT, 83
MARMANDE, 83
PONTAULT COMBAULT, 83
LAXOU, 83
SAINT LAURENT DU MARONI, 83
POISSY, 83
OYONNAX, 82
LE BLANC MESNIL, 82
LUNEL, 82
BRESSUIRE, 82
DRANCY, 82
LIBOURNE, 82
SAINT PAUL LES DAX, 81
MURET, 81
PERTUIS, 81
L ETANG SALE, 81
ISTRES, 81
CACHAN, 81
BEAUNE, 80
BONDOUFLE, 80
PEROLS, 80
LES HERBIERS, 80
RIS ORANGIS, 80
LA MOTTE SERVOLEX, 80
LE GRAND QUEVILLY, 80
LA TESTE DE BUCH, 80
ORANGE, 79
GUERET, 79
MOUANS SARTOUX, 79
MONTBONNOT SAINT MARTIN, 79
MORLAIX, 79
MONTAIGU VENDEE, 79
LA RAVOIRE, 79
EPERNAY, 78
SAINT THIBAULT DES VIGNES, 78
ARMENTIERES, 78
CONFLANS SAINTE HONORINE, 78
MANDELIEU LA NAPOULE, 78
LONGVIC, 78
BONDY, 78
LA COURNEUVE, 77
SAINT CLAUDE, 77
LE BOURGET DU LAC, 77
BUSSY SAINT GEORGES, 77
ANNEMASSE, 77
BLANQUEFORT, 77
SAINTE SUZANNE, 76
SAINT QUENTIN FALLAVIER, 76
LOURDES, 76
PACE, 76
HEILLECOURT, 75
VAL DE REUIL, 75
WAMBRECHIES, 75
EPAGNY METZ TESSY, 75
SAINT SEBASTIEN SUR LOIRE, 75
