75, 15900
69, 9017
59, 8738
92, 8416
13, 8240
33, 6048
31, 5834
44, 5674
34, 4732
38, 4514
94, 4270
67, 4136
78, 4036
06, 3975
93, 3934
76, 3857
35, 3857
62, 3768
91, 3762
77, 3413
83, 3259
974, 3224
57, 3094
95, 3023
49, 2893
74, 2803
42, 2662
54, 2503
64, 2478
63, 2462
29, 2445
60, 2312
30, 2212
14, 2181
45, 2157
56, 2155
85, 2143
68, 2105
01, 2103
21, 1966
73, 1935
17, 1902
37, 1896
971, 1872
84, 1832
51, 1818
25, 1688
972, 1655
26, 1643
71, 1621
80, 1599
86, 1532
22, 1444
72, 1436
27, 1429
11, 1334
02, 1331
28, 1324
50, 1323
12, 1258
66, 1202
87, 1200
88, 1196
79, 1191
40, 1161
10, 1084
2A, 1021
2B, 1016
03, 999
24, 992
81, 968
16, 943
973, 939
47, 919
53, 905
18, 901
39, 897
07, 879
41, 868
82, 827
89, 823
19, 795
08, 760
65, 727
36, 708
61, 707
43, 703
04, 676
05, 646
70, 630
09, 627
52, 606
32, 606
58, 527
15, 511
55, 511
46, 497
90, 485
48, 449
976, 354
23, 281
988, 75
98, 46
987, 37
975, 32
20, 5
986, 4
97, 1
977, 1
